Date,Country,City,Specie,count,min,max,median,variance
25/11/2019,GB,London,o3,408,0.3,25.4,8.2,292.19
16/11/2019,GB,London,o3,395,0.1,10.8,2.3,87.35
21/10/2019,GB,London,o3,408,2.6,30.1,13.7,466.58
23/10/2019,GB,London,o3,356,0.1,18.3,1.1,88.24
31/10/2019,GB,London,o3,394,0.1,14.8,1.7,104.78
11/11/2019,GB,London,o3,408,0.1,25.8,10.4,386.14
26/11/2019,GB,London,o3,408,1.5,26,15,470.9
03/12/2019,GB,London,o3,364,0.1,20.2,0.8,162.9
03/10/2019,GB,London,o3,386,0.1,27.4,3.9,627.38
15/10/2019,GB,London,o3,407,0.3,24.2,8.7,360.5
09/11/2019,GB,London,o3,405,0.1,23.2,4.8,233.94
27/10/2019,GB,London,o3,400,0.1,24.3,8.8,373.4
28/10/2019,GB,London,o3,396,0.1,21.6,4.7,290.5
05/11/2019,GB,London,o3,391,0.1,22,6.7,249.51
21/11/2019,GB,London,o3,396,0.1,11.7,3.1,97.74
28/11/2019,GB,London,o3,397,0.1,25.8,7.4,365.9
10/10/2019,GB,London,o3,403,0.5,24.8,11.7,454.17
18/10/2019,GB,London,o3,408,1.8,31.7,17.3,651.58
26/10/2019,GB,London,o3,408,3.9,31.4,18.5,528.51
11/12/2019,GB,London,o3,378,0.4,28.5,9.2,639.97
14/11/2019,GB,London,o3,399,0.1,28.4,9.4,699.79
15/12/2019,GB,London,o3,378,5.6,34,22.3,673
24/12/2019,GB,London,o3,402,2.9,29.7,17.6,534.62
30/12/2019,GB,London,o3,259,0.1,9.9,1.1,43.41
25/10/2019,GB,London,o3,405,0.3,31.2,12,763.8
01/11/2019,GB,London,o3,391,0.1,26.4,3.7,401.75
07/11/2019,GB,London,o3,405,0.1,24.1,9.2,443.38
20/11/2019,GB,London,o3,403,0.2,26.7,6.2,412.17
27/11/2019,GB,London,o3,408,0.2,69.9,9.4,617.82
04/12/2019,GB,London,o3,364,0.1,18,0.7,71.41
20/12/2019,GB,London,o3,380,0.2,27.9,11.1,581.39
25/12/2019,GB,London,o3,401,0.3,29.5,11.2,731.27
04/10/2019,GB,London,o3,399,0.1,26.2,7.2,510.47
09/10/2019,GB,London,o3,379,1.1,27.2,13.7,496.82
20/10/2019,GB,London,o3,396,0.1,26.9,10.4,494.65
31/12/2019,GB,London,o3,260,0.1,14.1,1.5,53.54
19/11/2019,GB,London,o3,369,0.1,12.5,0.8,29.72
02/12/2019,GB,London,o3,373,0.1,12.7,1.9,151.9
04/01/2020,GB,London,o3,382,0.9,24.6,7.9,333.15
11/10/2019,GB,London,o3,404,1.5,27.3,16.3,546.92
29/10/2019,GB,London,o3,408,1.8,29,12.8,352.93
10/11/2019,GB,London,o3,403,0.2,23,10.8,366.03
12/10/2019,GB,London,o3,399,0.9,31.3,10.7,497.78
16/10/2019,GB,London,o3,369,0.1,27,9.1,619.83
24/10/2019,GB,London,o3,350,0.1,16.2,1.3,126.52
06/12/2019,GB,London,o3,380,1.3,28.8,16.9,695.07
08/12/2019,GB,London,o3,379,4.8,32.2,25.2,527.56
18/12/2019,GB,London,o3,376,0.1,27.3,6.1,412.43
06/10/2019,GB,London,o3,403,1.7,29.6,14.2,469.34
18/11/2019,GB,London,o3,405,0.1,21.7,9.1,437.86
05/12/2019,GB,London,o3,355,0.1,28.4,1.9,663.16
12/11/2019,GB,London,o3,408,0.5,25.1,10.6,504.9
30/11/2019,GB,London,o3,347,0.1,18.2,1.4,109.85
19/12/2019,GB,London,o3,372,1.7,31.2,14.1,510.02
26/12/2019,GB,London,o3,400,0.3,29.4,12.1,510.43
08/10/2019,GB,London,o3,408,0.5,26.9,11.4,458.03
03/11/2019,GB,London,o3,403,0.2,24,8,398.44
08/11/2019,GB,London,o3,391,0.1,14.1,2.9,143.17
09/12/2019,GB,London,o3,379,0.2,29.9,15.8,838.4
10/12/2019,GB,London,o3,378,0.2,27.1,10.1,786.3
12/12/2019,GB,London,o3,377,0.4,26.9,9.9,530.89
13/12/2019,GB,London,o3,379,1.8,30.1,16.4,551.01
16/12/2019,GB,London,o3,377,0.1,32.2,7.7,900.08
02/10/2019,GB,London,o3,400,0.2,24.9,10.9,425.35
05/10/2019,GB,London,o3,395,0.6,24,7.7,203.93
07/12/2019,GB,London,o3,379,0.5,30.4,13,535.84
01/01/2020,GB,London,o3,251,0.2,13.6,1.1,59.98
23/11/2019,GB,London,o3,393,0.1,15.9,3.1,109.14
02/11/2019,GB,London,o3,404,5.1,30.4,17.7,397.47
13/11/2019,GB,London,o3,404,0.3,21.9,6.4,260.74
